Name,ZIP,Median_Income,Median_Age,Median_Male_Age,Median_Female_Age,Has_Thrift_Store,List_of_Stores
Paw Paw,49079,51719.00,37.7,34.9,43.1,,
Plainwell,49080,69817.00,40.7,39.6,42.1,,
Quincy,49082,63350.00,49.4,46.7,50.3,,
Richland,49083,49286.00,41.3,42.7,40.1,,
Saint Joseph,49085,40750.00,33.8,36.3,30.2,,
Schoolcraft,49087,61420.00,40.6,38.8,42.9,,
Scotts,49088,63185.28,50.3,52.4,39.4,,
Sherwood,49089,69135.00,42.5,44.9,41.1,,
South Haven,49090,63185.28,70.5,43.7,45.2,,
Sturgis,49091,59932.00,42.2,44.2,38.9,,
Tekonsha,49092,66556.00,40.8,39.6,45,,
Three Rivers,49093,53636.00,48.1,37.2,52.3,,
Union City,49094,61901.00,50.3,46,52.1,,
Vandalia,49095,69090.00,43.7,42.2,45.1,,
Vermontville,49096,66490.00,41.5,38.7,45.9,,
Vicksburg,49097,94616.00,38.4,36.1,39.4,,
Watervliet,49098,61083.00,43.5,38.2,46.2,,
White Pigeon,49099,51848.00,44.8,39.5,47.4,,
Baroda,49101,63185.28,74.5,74.9,73.5,,
Berrien Center,49102,61625.00,25.6,54.3,24.8,,
Berrien Springs,49103,57708.00,33.3,28.6,37.2,,
Bridgman,49106,62814.00,41.2,40.2,43.4,,
Buchanan,49107,68693.00,38.1,36.6,40.2,,
Eau Claire,49111,73690.00,42.3,40.9,43.3,,
Edwardsburg,49112,59574.00,40.8,40.2,41.1,,
Galien,49113,98281.00,39.5,38.1,43.1,,
Harbert,49115,29643.00,64.5,97.1,45.2,,
Lakeside,49116,86946.00,43.4,42.1,45.4,,
Grand Beach,49117,91176.00,45.1,44,45.2,,
New Troy,49119,92434.00,43.1,44.5,41.3,,
Niles,49120,51513.00,45.3,47.4,41.7,,
Sawyer,49125,54598.00,52.1,48.9,53.7,,
Sodus,49126,56149.00,37.6,37.6,37.7,,
Stevensville,49127,57500.00,43.1,42.2,44,,
Three Oaks,49128,56905.00,39.5,37.4,41,,
Union Pier,49129,57143.00,40.5,37.3,41.3,,
Union,49130,76809.00,51.3,49.8,51.7,,
Jackson,49201,66563.00,40,40.1,39.8,,
Jackson,49202,72788.00,41.5,39.9,42.8,,
Jackson,49203,50527.00,39.4,39.8,38.7,,
Addison,49220,55000.00,44.2,44.1,44.4,,
Adrian,49221,64000.00,46.5,42.8,49.7,,
Albion,49224,63185.28,53.2,51,54.8,,
Allen,49227,56123.00,37.6,36.7,38.4,,
Blissfield,49228,63185.28,20.2,20.4,19.8,,
